"Name","Location","Symbol Type","Data Type","Namespace","Source","Reference Count","Offcut Ref Count"
"FUN_08033ea8","08033ea8","Function","undefined","Global","Default","1","0"
"FUN_08033ed4","08033ed4","Function","undefined","Global","Default","0","1"
"FUN_08033ef0","08033ef0","Function","undefined","Global","Default","0","1"
"FUN_08033f08","08033f08","Function","undefined","Global","Default","0","0"
"FUN_08033f1c","08033f1c","Function","undefined","Global","Default","0","1"
"CreateMazaal","08033f3c","Function","undefined","Global","User Defined","0","1"
"FUN_08033ffc","08033ffc","Function","undefined","Global","Default","0","1"
"caseD_8","08034006","Instruction Label","","switchD_08034010","Analysis","1","0"
"switchD","08034010","Instruction Label","","switchD_08034010","Analysis","0","0"
"switchdataD_08034018","08034018","Data Label","pointer","switchD_08034010","Analysis","2","0"
"caseD_1","08034038","Instruction Label","","switchD_08034010","Analysis","2","0"
"caseD_3","08034056","Instruction Label","","switchD_08034010","Analysis","2","0"
"caseD_4","08034068","Instruction Label","","switchD_08034010","Analysis","2","0"
"caseD_6","08034090","Instruction Label","","switchD_08034010","Analysis","2","0"
"caseD_7","080340c4","Instruction Label","","switchD_08034010","Analysis","2","0"
"caseD_0","0803413e","Instruction Label","","switchD_08034010","Analysis","13","0"
"caseD_2","0803413e","Instruction Label","","switchD_08034010","Analysis","0","0"
"caseD_5","0803413e","Instruction Label","","switchD_08034010","Analysis","0","0"
"FUN_0803414c","0803414c","Function","undefined","Global","Default","0","1"
"FUN_080341b8","080341b8","Function","undefined","Global","Default","0","1"
"FUN_080341d0","080341d0","Function","undefined","Global","Default","0","1"
"FUN_080341f4","080341f4","Function","undefined","Global","Default","0","1"
"FUN_08034210","08034210","Function","undefined","Global","Default","0","1"
"FUN_08034240","08034240","Function","undefined","Global","Default","0","1"
"FUN_08034274","08034274","Function","undefined","Global","Default","0","1"
"FUN_080342a0","080342a0","Function","undefined","Global","Default","0","1"
"FUN_080342b4","080342b4","Function","undefined","Global","Default","0","1"
"FUN_080342c8","080342c8","Function","undefined","Global","Default","0","1"
"FUN_08034348","08034348","Function","undefined","Global","Default","0","1"
"FUN_0803438c","0803438c","Function","undefined","Global","Default","0","1"
"FUN_08034420","08034420","Function","undefined","Global","Default","10","0"
"FUN_0803442c","0803442c","Function","undefined","Global","Default","3","0"
"FUN_0803443c","0803443c","Function","undefined","Global","Default","1","0"
"FUN_08034474","08034474","Function","undefined","Global","Default","1","0"
"FUN_08034498","08034498","Function","undefined","Global","Default","1","0"
"FUN_080344bc","080344bc","Function","undefined","Global","Default","1","0"
"FUN_080344e0","080344e0","Function","undefined","Global","Default","0","1"
"FUN_0803451c","0803451c","Function","undefined","Global","Default","0","1"
"FUN_08034558","08034558","Function","undefined","Global","Default","0","1"
"FUN_08034578","08034578","Function","undefined","Global","Default","0","1"
"FUN_080345a0","080345a0","Function","undefined","Global","Default","2","0"
"FUN_080345b8","080345b8","Function","undefined","Global","Default","1","0"
"FUN_080345d0","080345d0","Function","undefined","Global","Default","1","1"
"FUN_08034618","08034618","Function","undefined","Global","Default","1","0"
"FUN_08034638","08034638","Function","undefined","Global","Default","2","0"
"FUN_08034658","08034658","Function","undefined","Global","Default","1","0"
"FUN_0803467c","0803467c","Function","undefined","Global","Default","1","0"
"FUN_080346a0","080346a0","Function","undefined","Global","Default","0","1"
"FUN_080346c8","080346c8","Function","undefined","Global","Default","0","1"
"FUN_0803473c","0803473c","Function","undefined","Global","Default","2","0"
"FUN_080347b4","080347b4","Function","undefined","Global","Default","2","0"
"FUN_080347fc","080347fc","Function","undefined","Global","Default","1","0"
"FUN_08034830","08034830","Function","undefined","Global","Default","1","0"
"FUN_080348a4","080348a4","Function","undefined","Global","Default","25","0"
"switchD","080348fc","Instruction Label","","switchD_080348fc","Analysis","0","0"
"switchdataD_08034904","08034904","Data Label","undefined *","switchD_080348fc","Analysis","2","0"
"caseD_0","08034928","Instruction Label","","switchD_080348fc","Analysis","2","0"
"caseD_1","0803492e","Instruction Label","","switchD_080348fc","Analysis","2","0"
"caseD_2","0803493c","Instruction Label","","switchD_080348fc","Analysis","3","0"
"caseD_4","0803493c","Instruction Label","","switchD_080348fc","Analysis","0","0"
"caseD_3","0803494a","Instruction Label","","switchD_080348fc","Analysis","2","0"
"caseD_5","08034958","Instruction Label","","switchD_080348fc","Analysis","2","0"
"caseD_6","08034966","Instruction Label","","switchD_080348fc","Analysis","2","0"
"caseD_7","0803496c","Instruction Label","","switchD_080348fc","Analysis","2","0"
"caseD_8","08034982","Instruction Label","","switchD_080348fc","Analysis","2","0"
"caseD_9","08034996","Instruction Label","","switchD_080348fc","Analysis","10","0"
"FUN_0803499c","0803499c","Function","undefined","Global","Default","1","0"
"FUN_080349d8","080349d8","Function","undefined","Global","Default","10","0"
"FUN_08034a10","08034a10","Function","undefined","Global","Default","2","0"
"FUN_08034a84","08034a84","Function","undefined","Global","Default","0","1"
"FUN_08034ac4","08034ac4","Function","undefined","Global","Default","0","1"
"FUN_08034b0c","08034b0c","Function","undefined","Global","Default","0","1"
"FUN_08034b38","08034b38","Function","undefined","Global","Default","0","1"
"FUN_08034ba0","08034ba0","Function","undefined","Global","Default","0","1"
"FUN_08034bc8","08034bc8","Function","undefined","Global","Default","0","1"
"FUN_08034c00","08034c00","Function","undefined","Global","Default","1","0"
"FUN_08034c60","08034c60","Function","undefined","Global","Default","0","1"
"FUN_08034c7c","08034c7c","Function","undefined","Global","Default","0","1"
"FUN_08034ca4","08034ca4","Function","undefined","Global","Default","0","0"
"FUN_08034cc4","08034cc4","Function","undefined","Global","Default","0","0"
"FUN_08034d4c","08034d4c","Function","undefined","Global","Default","0","0"
"FUN_08034dc8","08034dc8","Function","undefined","Global","Default","0","0"
"FUN_08034e18","08034e18","Function","undefined","Global","Default","1","0"
"FUN_08034e30","08034e30","Function","undefined","Global","Default","0","1"
"FUN_08034e68","08034e68","Function","undefined","Global","Default","0","1"
"FUN_08034ec0","08034ec0","Function","undefined","Global","Default","0","1"
"FUN_08034ed8","08034ed8","Function","undefined","Global","Default","0","1"
"FUN_08034ee4","08034ee4","Function","undefined","Global","Default","0","1"
"FUN_08034f58","08034f58","Function","undefined","Global","Default","0","1"
"FUN_08034f70","08034f70","Function","undefined","Global","Default","1","0"
"FUN_08034fa0","08034fa0","Function","undefined","Global","Default","1","0"
"FUN_08035050","08035050","Function","undefined","Global","Default","1","0"
"FUN_08035084","08035084","Function","undefined","Global","Default","1","0"
"FUN_08035120","08035120","Function","undefined","Global","Default","2","0"
"FUN_08035164","08035164","Function","undefined","Global","Default","0","1"
"FUN_08035194","08035194","Function","undefined","Global","Default","1","0"
"FUN_080351bc","080351bc","Function","undefined","Global","Default","0","1"
"FUN_080351d8","080351d8","Function","undefined","Global","Default","0","0"
"FUN_0803520c","0803520c","Function","undefined","Global","Default","1","1"
"FUN_08035288","08035288","Function","undefined","Global","Default","0","1"
"FUN_080352fc","080352fc","Function","undefined","Global","Default","0","1"
"FUN_080354f8","080354f8","Function","undefined","Global","Default","0","1"
"FUN_0803552c","0803552c","Function","undefined","Global","Default","0","1"
"FUN_080355b4","080355b4","Function","undefined","Global","Default","0","1"
"FUN_080356f8","080356f8","Function","undefined","Global","Default","0","0"
"CreateBigOctorok","0803571c","Function","undefined","Global","User Defined","0","1"
"switchD","08035742","Instruction Label","","switchD_08035742","Analysis","0","0"
"switchdataD_08035748","08035748","Data Label","undefined *","switchD_08035742","Analysis","2","0"
"caseD_0","08035764","Instruction Label","","switchD_08035742","Analysis","2","0"
"caseD_1","080358d8","Instruction Label","","switchD_08035742","Analysis","5","0"
"caseD_2","080358d8","Instruction Label","","switchD_08035742","Analysis","0","0"
"caseD_3","080358d8","Instruction Label","","switchD_08035742","Analysis","0","0"
"caseD_4","080358d8","Instruction Label","","switchD_08035742","Analysis","0","0"
"caseD_5","08035920","Instruction Label","","switchD_08035742","Analysis","2","0"
"caseD_6","08035940","Instruction Label","","switchD_08035742","Analysis","2","0"
"caseD_7","08035974","Instruction Label","","switchD_08035742","Analysis","6","0"
"FUN_080359b4","080359b4","Function","undefined","Global","Default","0","1"
"FUN_080359f8","080359f8","Function","undefined","Global","Default","0","1"
"FUN_08035a24","08035a24","Function","undefined","Global","Default","0","1"
"FUN_08035a70","08035a70","Function","undefined","Global","Default","0","1"
"FUN_08035ab4","08035ab4","Function","undefined","Global","Default","0","1"
"FUN_08035aec","08035aec","Function","undefined","Global","Default","0","1"
"FUN_08035b34","08035b34","Function","undefined","Global","Default","0","1"
"FUN_08035b94","08035b94","Function","undefined","Global","Default","1","1"
"switchD","08035bbe","Instruction Label","","switchD_08035bbe","Analysis","0","0"
"switchdataD_08035bc4","08035bc4","Data Label","undefined *","switchD_08035bbe","Analysis","3","0"
"caseD_1","08035be4","Instruction Label","","switchD_08035bbe","Analysis","5","0"
"caseD_2","08035be4","Instruction Label","","switchD_08035bbe","Analysis","0","0"
"caseD_3","08035be4","Instruction Label","","switchD_08035bbe","Analysis","0","0"
"caseD_4","08035be4","Instruction Label","","switchD_08035bbe","Analysis","0","0"
"caseD_7","08035d14","Instruction Label","","switchD_08035bbe","Analysis","2","0"
"caseD_6","08035db0","Instruction Label","","switchD_08035bbe","Analysis","2","0"
"caseD_5","08035e78","Instruction Label","","switchD_08035bbe","Analysis","2","0"
"caseD_0","08035f16","Instruction Label","","switchD_08035bbe","Analysis","3","0"
"FUN_08036078","08036078","Function","undefined","Global","Default","0","1"
"FUN_080360c8","080360c8","Function","undefined","Global","Default","0","1"
"FUN_080360e8","080360e8","Function","undefined","Global","Default","0","1"
"FUN_08036188","08036188","Function","undefined","Global","Default","0","1"
"FUN_080361f4","080361f4","Function","undefined","Global","Default","0","1"
"FUN_0803623c","0803623c","Function","undefined","Global","Default","0","1"
"FUN_080362a8","080362a8","Function","undefined","Global","Default","0","1"
"FUN_08036304","08036304","Function","undefined","Global","Default","0","1"
"FUN_08036390","08036390","Function","undefined","Global","Default","0","1"
"FUN_080363cc","080363cc","Function","undefined","Global","Default","0","1"
"FUN_08036658","08036658","Function","undefined","Global","Default","0","1"
"FUN_080366b4","080366b4","Function","undefined","Global","Default","0","1"
"FUN_0803670c","0803670c","Function","undefined","Global","Default","0","1"
"FUN_08036764","08036764","Function","undefined","Global","Default","0","1"
"FUN_080367b0","080367b0","Function","undefined","Global","Default","1","0"
"FUN_08036870","08036870","Function","undefined","Global","Default","0","0"
"FUN_080368d8","080368d8","Function","undefined","Global","Default","2","0"
"FUN_08036914","08036914","Function","undefined","Global","Default","4","0"
"FUN_08036998","08036998","Function","undefined","Global","Default","2","0"
"FUN_080369d0","080369d0","Function","undefined","Global","Default","1","0"
"FUN_08036af0","08036af0","Function","undefined","Global","Default","1","0"
"FUN_08036c90","08036c90","Function","undefined","Global","Default","9","0"
"FUN_08036d4c","08036d4c","Function","undefined","Global","Default","3","0"
"FUN_08036d70","08036d70","Function","undefined","Global","Default","1","0"
"FUN_08036da0","08036da0","Function","undefined","Global","Default","2","0"
"FUN_08036e00","08036e00","Function","undefined","Global","Default","1","0"
"FUN_08036f14","08036f14","Function","undefined","Global","Default","2","0"
"FUN_08036f60","08036f60","Function","undefined","Global","Default","1","0"
"FUN_08036fac","08036fac","Function","undefined","Global","Default","4","0"
"FUN_08036fe4","08036fe4","Function","undefined","Global","Default","1","0"
"FUN_0803704c","0803704c","Function","undefined","Global","Default","0","1"
"FUN_0803708c","0803708c","Function","undefined","Global","Default","0","1"
"FUN_080370a4","080370a4","Function","undefined","Global","Default","0","0"
"FUN_0803712c","0803712c","Function","undefined","Global","Default","0","0"
"FUN_08037144","08037144","Function","undefined","Global","Default","0","1"
"FUN_0803715c","0803715c","Function","undefined","Global","Default","0","1"
"FUN_0803718c","0803718c","Function","undefined","Global","Default","0","1"
"FUN_080371f8","080371f8","Function","undefined","Global","Default","0","1"
"FUN_08037220","08037220","Function","undefined","Global","Default","0","1"
"FUN_08037280","08037280","Function","undefined","Global","Default","0","1"
"FUN_080372e8","080372e8","Function","undefined","Global","Default","0","1"
"FUN_0803737c","0803737c","Function","undefined","Global","Default","0","1"
"FUN_080373b0","080373b0","Function","undefined","Global","Default","0","1"
"FUN_080373c8","080373c8","Function","undefined","Global","Default","0","1"
"FUN_080373e0","080373e0","Function","undefined","Global","Default","0","1"
"FUN_08037408","08037408","Function","undefined","Global","Default","8","0"
"FUN_08037418","08037418","Function","undefined","Global","Default","6","0"
"FUN_0803746c","0803746c","Function","undefined","Global","Default","0","1"
"FUN_0803748c","0803748c","Function","undefined","Global","Default","0","1"
"FUN_080374a4","080374a4","Function","undefined","Global","Default","0","0"
"FUN_08037558","08037558","Function","undefined","Global","Default","0","1"
"FUN_08037580","08037580","Function","undefined","Global","Default","0","1"
"FUN_080375a4","080375a4","Function","undefined","Global","Default","0","1"
"FUN_080375f8","080375f8","Function","undefined","Global","Default","0","1"
"FUN_08037624","08037624","Function","undefined","Global","Default","0","1"
"FUN_08037690","08037690","Function","undefined","Global","Default","0","1"
"FUN_080376d0","080376d0","Function","undefined","Global","Default","0","1"
"FUN_0803773c","0803773c","Function","undefined","Global","Default","0","1"
"CreateStalfos","0803775c","Function","undefined","Global","User Defined","0","1"
"FUN_08037794","08037794","Function","undefined","Global","Default","6","0"
"FUN_080377b0","080377b0","Function","undefined","Global","Default","1","0"
"FUN_08037810","08037810","Function","undefined","Global","Default","3","0"
"FUN_080378b0","080378b0","Function","undefined","Global","Default","3","0"
"FUN_08037914","08037914","Function","undefined","Global","Default","1","0"
"FUN_0803797c","0803797c","Function","undefined","Global","Default","2","0"
"FUN_080379bc","080379bc","Function","undefined","Global","Default","2","0"
"FUN_080379ec","080379ec","Function","undefined","Global","Default","1","0"
"FUN_08037a14","08037a14","Function","undefined","Global","Default","1","0"
"FUN_08037a58","08037a58","Function","undefined","Global","Default","4","0"
"FUN_08037acc","08037acc","Function","undefined","Global","Default","2","0"
"FUN_08037b10","08037b10","Function","undefined","Global","Default","1","0"
"FUN_08037b48","08037b48","Function","undefined","Global","Default","1","0"
"FUN_08037c0c","08037c0c","Function","undefined","Global","Default","1","0"
"FUN_08037c3c","08037c3c","Function","undefined","Global","Default","0","1"
"FUN_08037c84","08037c84","Function","undefined","Global","Default","0","1"
"FUN_08037c9c","08037c9c","Function","undefined","Global","Default","0","0"
"FUN_08037cc0","08037cc0","Function","undefined","Global","Default","0","0"
"FUN_08037ce4","08037ce4","Function","undefined","Global","Default","0","0"
"FUN_08037d0c","08037d0c","Function","undefined","Global","Default","0","0"
"FUN_08037d54","08037d54","Function","undefined","Global","Default","0","0"
"FUN_08037e14","08037e14","Function","undefined","Global","Default","4","0"
"FUN_08037e90","08037e90","Function","undefined","Global","Default","1","0"
"FUN_08037ec8","08037ec8","Function","undefined","Global","Default","0","1"
"FUN_08037ee8","08037ee8","Function","undefined","Global","Default","0","1"
"FUN_08037f00","08037f00","Function","undefined","Global","Default","0","0"
"FUN_08037f58","08037f58","Function","undefined","Global","Default","0","0"
"FUN_08037f84","08037f84","Function","undefined","Global","Default","0","0"
"FUN_08037fa0","08037fa0","Function","undefined","Global","Default","0","1"
"FUN_08037fe0","08037fe0","Function","undefined","Global","Default","0","1"
"FUN_08038048","08038048","Function","undefined","Global","Default","0","1"
"FUN_08038110","08038110","Function","undefined","Global","Default","0","1"
"FUN_08038168","08038168","Function","undefined","Global","Default","3","0"
"FUN_080381ac","080381ac","Function","undefined","Global","Default","0","1"
"FUN_080381f8","080381f8","Function","undefined","Global","Default","0","1"
"FUN_08038210","08038210","Function","undefined","Global","Default","0","0"
"FUN_08038234","08038234","Function","undefined","Global","Default","0","0"
"FUN_08038258","08038258","Function","undefined","Global","Default","0","1"
"FUN_0803827c","0803827c","Function","undefined","Global","Default","0","1"
"FUN_080382ec","080382ec","Function","undefined","Global","Default","0","1"
"FUN_08038304","08038304","Function","undefined","Global","Default","0","1"
"FUN_080383ac","080383ac","Function","undefined","Global","Default","4","0"
"FUN_080383e4","080383e4","Function","undefined","Global","Default","1","0"
"FUN_08038430","08038430","Function","undefined","Global","Default","0","1"
"FUN_08038450","08038450","Function","undefined","Global","Default","0","1"
"FUN_08038468","08038468","Function","undefined","Global","Default","0","0"
"FUN_080384e0","080384e0","Function","undefined","Global","Default","0","1"
"FUN_08038534","08038534","Function","undefined","Global","Default","0","1"
"FUN_080385cc","080385cc","Function","undefined","Global","Default","0","1"
"FUN_0803864c","0803864c","Function","undefined","Global","Default","0","1"
"FUN_080386b8","080386b8","Function","undefined","Global","Default","0","1"
"FUN_0803872c","0803872c","Function","undefined","Global","Default","3","0"
"FUN_08038754","08038754","Function","undefined","Global","Default","4","0"
"FUN_080387f0","080387f0","Function","undefined","Global","Default","4","0"
"FUN_080388b4","080388b4","Function","undefined","Global","Default","0","1"
"FUN_080388d4","080388d4","Function","undefined","Global","Default","0","1"
"FUN_080388ec","080388ec","Function","undefined","Global","Default","0","0"
"FUN_08038984","08038984","Function","undefined","Global","Default","0","1"
"FUN_080389e8","080389e8","Function","undefined","Global","Default","0","1"
"FUN_08038a70","08038a70","Function","undefined","Global","Default","0","1"
"FUN_08038b08","08038b08","Function","undefined","Global","Default","0","1"
"FUN_08038b64","08038b64","Function","undefined","Global","Default","0","1"
"FUN_08038b90","08038b90","Function","undefined","Global","Default","2","0"
"FUN_08038ba8","08038ba8","Function","undefined","Global","Default","3","0"
"FUN_08038c2c","08038c2c","Function","undefined","Global","Default","3","0"
"FUN_08038c84","08038c84","Function","undefined","Global","Default","10","0"
"FUN_08038ca4","08038ca4","Function","undefined","Global","Default","0","1"
"FUN_08038cf8","08038cf8","Function","undefined","Global","Default","0","1"
"FUN_08038d10","08038d10","Function","undefined","Global","Default","0","0"
"FUN_08038d78","08038d78","Function","undefined","Global","Default","0","1"
"FUN_08038da0","08038da0","Function","undefined","Global","Default","0","1"
"FUN_08038e18","08038e18","Function","undefined","Global","Default","0","1"
"FUN_08038eac","08038eac","Function","undefined","Global","Default","0","1"
"FUN_08038ed0","08038ed0","Function","undefined","Global","Default","0","1"
"FUN_08038ee0","08038ee0","Function","undefined","Global","Default","0","1"
"FUN_08038f20","08038f20","Function","undefined","Global","Default","0","1"
"FUN_08038f44","08038f44","Function","undefined","Global","Default","0","1"
"FUN_08038fa0","08038fa0","Function","undefined","Global","Default","0","1"
"FUN_0803901c","0803901c","Function","undefined","Global","Default","4","0"
"FUN_080390c0","080390c0","Function","undefined","Global","Default","1","0"
"FUN_080390f8","080390f8","Function","undefined","Global","Default","5","0"
"FUN_08039120","08039120","Function","undefined","Global","Default","2","0"
"FUN_08039140","08039140","Function","undefined","Global","Default","1","0"
"FUN_0803917c","0803917c","Function","undefined","Global","Default","1","0"
"CreateCucco","080391b4","Function","undefined","Global","User Defined","1","0"
"FUN_08039218","08039218","Function","undefined","Global","Default","3","0"
"FUN_08039260","08039260","Function","undefined","Global","Default","4","0"
"FUN_08039298","08039298","Function","undefined","Global","Default","4","0"
"FUN_080392ac","080392ac","Function","undefined","Global","Default","0","1"
"FUN_080392cc","080392cc","Function","undefined","Global","Default","0","1"
"FUN_0803933c","0803933c","Function","undefined","Global","Default","0","0"
"FUN_08039418","08039418","Function","undefined","Global","Default","0","0"
"FUN_08039438","08039438","Function","undefined","Global","Default","0","0"
"FUN_08039470","08039470","Function","undefined","Global","Default","0","0"
"FUN_080394cc","080394cc","Function","undefined","Global","Default","0","1"
"FUN_08039530","08039530","Function","undefined","Global","Default","0","1"
"FUN_0803956c","0803956c","Function","undefined","Global","Default","0","1"
"FUN_0803958c","0803958c","Function","undefined","Global","Default","0","1"
"FUN_080395d8","080395d8","Function","undefined","Global","Default","0","1"
"FUN_08039604","08039604","Function","undefined","Global","Default","0","1"
"FUN_08039628","08039628","Function","undefined","Global","Default","0","1"
"FUN_08039670","08039670","Function","undefined","Global","Default","0","1"
"FUN_08039688","08039688","Function","undefined","Global","Default","0","1"
"FUN_080396bc","080396bc","Function","undefined","Global","Default","0","1"
"FUN_080396e4","080396e4","Function","undefined","Global","Default","0","1"
"FUN_0803970c","0803970c","Function","undefined","Global","Default","0","1"
"FUN_08039758","08039758","Function","undefined","Global","Default","3","0"
"FUN_0803981c","0803981c","Function","undefined","Global","Default","3","0"
"FUN_08039858","08039858","Function","undefined","Global","Default","1","0"
"FUN_080398c0","080398c0","Function","undefined","Global","Default","1","0"
"FUN_0803992c","0803992c","Function","undefined","Global","Default","1","0"
"FUN_0803998c","0803998c","Function","undefined","Global","Default","7","0"
"FUN_080399c4","080399c4","Function","undefined","Global","Default","1","0"
"FUN_08039a00","08039a00","Function","undefined","Global","Default","2","0"
"FUN_08039a20","08039a20","Function","undefined","Global","Default","1","0"
"FUN_08039a48","08039a48","Function","undefined","Global","Default","4","0"
"FUN_08039a70","08039a70","Function","undefined","Global","Default","1","0"
"FUN_08039ad4","08039ad4","Function","undefined","Global","Default","1","0"
"FUN_08039b28","08039b28","Function","undefined","Global","Default","1","0"
"FUN_08039ba0","08039ba0","Function","undefined","Global","Default","0","1"
"FUN_08039be0","08039be0","Function","undefined","Global","Default","0","1"
"FUN_08039bf8","08039bf8","Function","undefined","Global","Default","0","0"
"FUN_08039c80","08039c80","Function","undefined","Global","Default","0","0"
"FUN_08039c98","08039c98","Function","undefined","Global","Default","0","1"
"FUN_08039cb0","08039cb0","Function","undefined","Global","Default","0","1"
"FUN_08039ce0","08039ce0","Function","undefined","Global","Default","0","1"
"FUN_08039d4c","08039d4c","Function","undefined","Global","Default","0","1"
"FUN_08039d74","08039d74","Function","undefined","Global","Default","0","1"
"CreateStalfos","08039dd8","Function","undefined","Global","User Defined","0","1"
"FUN_08039ecc","08039ecc","Function","undefined","Global","Default","0","1"
"FUN_08039ee4","08039ee4","Function","undefined","Global","Default","0","1"
"FUN_08039f4c","08039f4c","Function","undefined","Global","Default","0","1"
"FUN_08039f78","08039f78","Function","undefined","Global","Default","0","1"
"FUN_08039fa4","08039fa4","Function","undefined","Global","Default","0","1"
"FUN_08039fac","08039fac","Function","undefined","Global","Default","0","1"
"FUN_0803a048","0803a048","Function","undefined","Global","Default","0","1"
"FUN_0803a080","0803a080","Function","undefined","Global","Default","0","1"
"FUN_0803a09c","0803a09c","Function","undefined","Global","Default","0","1"
"FUN_0803a0b8","0803a0b8","Function","undefined","Global","Default","0","1"
"FUN_0803a0e0","0803a0e0","Function","undefined","Global","Default","10","0"
"FUN_0803a100","0803a100","Function","undefined","Global","Default","6","0"
"FUN_0803a154","0803a154","Function","undefined","Global","Default","0","1"
"FUN_0803a170","0803a170","Function","undefined","Global","Default","0","1"
"FUN_0803a188","0803a188","Function","undefined","Global","Default","0","0"
"FUN_0803a254","0803a254","Function","undefined","Global","Default","0","1"
"FUN_0803a274","0803a274","Function","undefined","Global","Default","0","1"
"FUN_0803a364","0803a364","Function","undefined","Global","Default","0","1"
"caseD_c","0803a392","Instruction Label","","switchD_0803a39c","Analysis","1","0"
"switchD","0803a39c","Instruction Label","","switchD_0803a39c","Analysis","0","0"
"switchdataD_0803a3a8","0803a3a8","Data Label","pointer","switchD_0803a39c","Analysis","3","0"
"caseD_1","0803a3d8","Instruction Label","","switchD_0803a39c","Analysis","2","0"
"caseD_3","0803a3fa","Instruction Label","","switchD_0803a39c","Analysis","2","0"
"caseD_4","0803a418","Instruction Label","","switchD_0803a39c","Analysis","2","0"
"caseD_5","0803a434","Instruction Label","","switchD_0803a39c","Analysis","2","0"
"caseD_6","0803a44e","Instruction Label","","switchD_0803a39c","Analysis","2","0"
"caseD_7","0803a468","Instruction Label","","switchD_0803a39c","Analysis","2","0"
"caseD_8","0803a49a","Instruction Label","","switchD_0803a39c","Analysis","2","0"
"caseD_9","0803a4b2","Instruction Label","","switchD_0803a39c","Analysis","2","0"
"caseD_a","0803a4cc","Instruction Label","","switchD_0803a39c","Analysis","2","0"
"caseD_b","0803a4fa","Instruction Label","","switchD_0803a39c","Analysis","2","0"
"caseD_0","0803a546","Instruction Label","","switchD_0803a39c","Analysis","21","0"
"caseD_2","0803a546","Instruction Label","","switchD_0803a39c","Analysis","0","0"
"FUN_0803a548","0803a548","Function","undefined","Global","Default","0","1"
"FUN_0803a58c","0803a58c","Function","undefined","Global","Default","0","1"
"FUN_0803a5d0","0803a5d0","Function","undefined","Global","Default","0","1"
"FUN_0803a60c","0803a60c","Function","undefined","Global","Default","0","1"
"FUN_0803a660","0803a660","Function","undefined","Global","Default","0","1"
"FUN_0803a6e8","0803a6e8","Function","undefined","Global","Default","0","1"
"FUN_0803a720","0803a720","Function","undefined","Global","Default","0","1"
"FUN_0803a740","0803a740","Function","undefined","Global","Default","0","1"
"FUN_0803a780","0803a780","Function","undefined","Global","Default","0","1"
"FUN_0803a7ac","0803a7ac","Function","undefined","Global","Default","0","1"
"FUN_0803a7cc","0803a7cc","Function","undefined","Global","Default","0","1"
"FUN_0803a814","0803a814","Function","undefined","Global","Default","0","1"
"FUN_0803a86c","0803a86c","Function","undefined","Global","Default","0","1"
"FUN_0803a8b8","0803a8b8","Function","undefined","Global","Default","0","1"
"FUN_0803a90c","0803a90c","Function","undefined","Global","Default","0","1"
"FUN_0803a978","0803a978","Function","undefined","Global","Default","0","1"
"FUN_0803aa00","0803aa00","Function","undefined","Global","Default","0","1"
"FUN_0803aa98","0803aa98","Function","undefined","Global","Default","0","1"
"FUN_0803ab10","0803ab10","Function","undefined","Global","Default","0","1"
"FUN_0803ab5c","0803ab5c","Function","undefined","Global","Default","0","1"
"FUN_0803abb4","0803abb4","Function","undefined","Global","Default","0","1"
"FUN_0803ac1c","0803ac1c","Function","undefined","Global","Default","0","1"
"FUN_0803ac60","0803ac60","Function","undefined","Global","Default","0","1"
"FUN_0803acc0","0803acc0","Function","undefined","Global","Default","0","1"
"switchD","0803acd4","Instruction Label","","switchD_0803acd4","Analysis","0","0"
"switchdataD_0803acdc","0803acdc","Data Label","undefined *","switchD_0803acd4","Analysis","3","0"
"caseD_5","0803acf0","Instruction Label","","switchD_0803acd4","Analysis","2","0"
"caseD_1","0803ad02","Instruction Label","","switchD_0803acd4","Analysis","2","0"
"caseD_2","0803ad1a","Instruction Label","","switchD_0803acd4","Analysis","2","0"
"caseD_3","0803ad4a","Instruction Label","","switchD_0803acd4","Analysis","2","0"
"caseD_4","0803ad5c","Instruction Label","","switchD_0803acd4","Analysis","2","0"
"caseD_5","0803ad74","Instruction Label","","switchD_0803acd4","Analysis","2","0"
"FUN_0803adac","0803adac","Function","undefined","Global","Default","0","1"
"FUN_0803adf4","0803adf4","Function","undefined","Global","Default","0","1"
"FUN_0803ae48","0803ae48","Function","undefined","Global","Default","0","1"
"FUN_0803aec4","0803aec4","Function","undefined","Global","Default","0","1"
"FUN_0803af18","0803af18","Function","undefined","Global","Default","0","1"
"FUN_0803af50","0803af50","Function","undefined","Global","Default","0","1"
"FUN_0803af7c","0803af7c","Function","undefined","Global","Default","0","1"
"FUN_0803af9c","0803af9c","Function","undefined","Global","Default","0","1"
"FUN_0803afc8","0803afc8","Function","undefined","Global","Default","0","1"
"FUN_0803afe0","0803afe0","Function","undefined","Global","Default","0","1"
"FUN_0803b01c","0803b01c","Function","undefined","Global","Default","0","1"
"FUN_0803b04c","0803b04c","Function","undefined","Global","Default","0","1"
"FUN_0803b074","0803b074","Function","undefined","Global","Default","0","1"
"FUN_0803b0d4","0803b0d4","Function","undefined","Global","Default","0","1"
"FUN_0803b100","0803b100","Function","undefined","Global","Default","0","1"
"FUN_0803b144","0803b144","Function","undefined","Global","Default","0","1"
"FUN_0803b17c","0803b17c","Function","undefined","Global","Default","0","1"
"FUN_0803b1b8","0803b1b8","Function","undefined","Global","Default","0","1"
"FUN_0803b2d0","0803b2d0","Function","undefined","Global","Default","0","1"
"FUN_0803b30c","0803b30c","Function","undefined","Global","Default","0","1"
